"Title","Hidden","BaseTemplate","ItemCount","DefaultViewUrl"
"Registro de Cargas","False","100","2","/sites/SYS-GobiernoOperativo-PILOTO/RegistroCargas/AllItems.aspx"
"REL_Releases","False","100","0","/sites/SYS-GobiernoOperativo-PILOTO/Lists/REL_Releases/AllItems.aspx"
"REQ_Solicitudes","False","100","0","/sites/SYS-GobiernoOperativo-PILOTO/Lists/REQ_Solicitudes/AllItems.aspx"
"SD_Actas","False","100","0","/sites/SYS-GobiernoOperativo-PILOTO/Lists/SD_Actas/AllItems.aspx"
"SD_Agentes","False","100","14","/sites/SYS-GobiernoOperativo-PILOTO/Lists/SD_Agentes/AllItems.aspx"
"SD_BacklogEstrategico","False","100","11","/sites/SYS-GobiernoOperativo-PILOTO/Lists/SD_BacklogEstrategico/AllItems.aspx"
"SD_BitacoraUniversal","False","100","0","/sites/SYS-GobiernoOperativo-PILOTO/Lists/SD_BitacoraUniversal/AllItems.aspx"
"SD_Comunicaciones","False","100","0","/sites/SYS-GobiernoOperativo-PILOTO/Lists/SD_Comunicaciones/AllItems.aspx"
"SD_EjecucionesAgente","False","100","1","/sites/SYS-GobiernoOperativo-PILOTO/Lists/SD_EjecucionesAgente/AllItems.aspx"
"SD_EventosDeclarativos","False","100","2","/sites/SYS-GobiernoOperativo-PILOTO/Lists/SD_EventosDeclarativos/AllItems.aspx"
"SD_Evidencias","False","100","2","/sites/SYS-GobiernoOperativo-PILOTO/Lists/SD_Evidencias/AllItems.aspx"
"SD_KPIs","False","100","0","/sites/SYS-GobiernoOperativo-PILOTO/Lists/SD_KPIs/AllItems.aspx"
"SD_KYC_InventarioDocumental","False","100","0","/sites/SYS-GobiernoOperativo-PILOTO/Lists/SD_KYC_InventarioDocumental/AllItems.aspx"
"SD_MedicionesKPI","False","100","0","/sites/SYS-GobiernoOperativo-PILOTO/Lists/SD_MedicionesKPI/AllItems.aspx"
"SD_MetadataRegistry","False","100","2","/sites/SYS-GobiernoOperativo-PILOTO/Lists/SD_MetadataRegistry/AllItems.aspx"
"SD_OrdenesDeclarativas","False","100","1","/sites/SYS-GobiernoOperativo-PILOTO/Lists/SD_OrdenesDeclarativas/AllItems.aspx"
"SD_RACI","False","100","0","/sites/SYS-GobiernoOperativo-PILOTO/Lists/SD_RACI/AllItems.aspx"
"SD_ReglasEvento","False","100","0","/sites/SYS-GobiernoOperativo-PILOTO/Lists/SD_ReglasEvento/AllItems.aspx"
"SD_Repositorios","False","100","3","/sites/SYS-GobiernoOperativo-PILOTO/Lists/SD_Repositorios/AllItems.aspx"
"SD_Riesgos","False","100","2","/sites/SYS-GobiernoOperativo-PILOTO/Lists/SD_Riesgos/AllItems.aspx"
"SD_VersionesSistema","False","100","4","/sites/SYS-GobiernoOperativo-PILOTO/Lists/SD_VersionesSistema/AllItems.aspx"
"SEI_Alias","False","100","0","/sites/SYS-GobiernoOperativo-PILOTO/Lists/SEI_Alias/AllItems.aspx"
"SEI_CambiosTaxonomicos","False","100","0","/sites/SYS-GobiernoOperativo-PILOTO/Lists/SEI_CambiosTaxonomicos/AllItems.aspx"
"SEI_Conceptos","False","100","0","/sites/SYS-GobiernoOperativo-PILOTO/Lists/SEI_Conceptos/AllItems.aspx"
"SEI_MapeosLocales","False","100","0","/sites/SYS-GobiernoOperativo-PILOTO/Lists/SEI_MapeosLocales/AllItems.aspx"
"SEI_Namespaces","False","100","5","/sites/SYS-GobiernoOperativo-PILOTO/Lists/SEI_Namespaces/AllItems.aspx"
"SEI_Relaciones","False","100","0","/sites/SYS-GobiernoOperativo-PILOTO/Lists/SEI_Relaciones/AllItems.aspx"
"SEI_Terminos","False","100","3","/sites/SYS-GobiernoOperativo-PILOTO/Lists/SEI_Terminos/AllItems.aspx"
"SEI_Versiones","False","100","0","/sites/SYS-GobiernoOperativo-PILOTO/Lists/SEI_Versiones/AllItems.aspx"
"SYS_Ambientes","False","100","0","/sites/SYS-GobiernoOperativo-PILOTO/Lists/SYS_Ambientes/AllItems.aspx"
"SYS_ArtefactosDeclarativos","False","100","0","/sites/SYS-GobiernoOperativo-PILOTO/Lists/SYS_ArtefactosDeclarativos/AllItems.aspx"
"SYS_Capacidades","False","100","20","/sites/SYS-GobiernoOperativo-PILOTO/Lists/SYS_Capacidades/AllItems.aspx"
"SYS_Componentes","False","100","0","/sites/SYS-GobiernoOperativo-PILOTO/Lists/SYS_Componentes/AllItems.aspx"
"SYS_Conexiones","False","100","0","/sites/SYS-GobiernoOperativo-PILOTO/Lists/SYS_Conexiones/AllItems.aspx"
"SYS_Dependencias","False","100","0","/sites/SYS-GobiernoOperativo-PILOTO/Lists/SYS_Dependencias/AllItems.aspx"
"SYS_ErroresSoluciones","False","100","13","/sites/SYS-GobiernoOperativo-PILOTO/Lists/SYS_ErroresSoluciones/AllItems.aspx"
"SYS_EstadoOperativo","False","100","68","/sites/SYS-GobiernoOperativo-PILOTO/Lists/SYS_EstadoOperativo/AllItems.aspx"
