raw_connection_id,canonical_id,repo,repo_id,file_path,line_or_section,surface,connection_type,tenant_scope,gate_required,risk_level,seed_decision,stop_condition
conn.seshat_bootstrap.unknown_por_definir.20401,conn_canon_000197,SeshatSgin/seshat-bootstrap-sdu-cn,SESHAT_BOOTSTRAP,03_CORTE_EJECUTORA_DEL_REY/10_REPOS/02_ACTIVE/seshat-bootstrap-sdu-cn/matrices/sdu_cn/ESCRIBANIA_BITSCH_DOCUMENT_WORKSPACE_SOURCE_REGISTER_20260527.csv,file_name,Unknown / POR_DEFINIR,Unknown / POR_DEFINIR,COURT_SDU_SESHAT,GATE_CONNECTION_SURFACE_CLASSIFICATION_REQUIRED,low,exclude_false_positive,connection_surface_unclassified
conn.seshat_bootstrap.unknown_por_definir.20418,conn_canon_000202,SeshatSgin/seshat-bootstrap-sdu-cn,SESHAT_BOOTSTRAP,03_CORTE_EJECUTORA_DEL_REY/10_REPOS/02_ACTIVE/seshat-bootstrap-sdu-cn/matrices/sdu_cn/SDU_CN_AGENT_COMMUNICATION_MATRIX.csv,L14,Unknown / POR_DEFINIR,Unknown / POR_DEFINIR,COURT_SDU_SESHAT,GATE_CONNECTION_SURFACE_CLASSIFICATION_REQUIRED,low,exclude_false_positive,connection_surface_unclassified
conn.seshat_bootstrap.unknown_por_definir.20427,conn_canon_000212,SeshatSgin/seshat-bootstrap-sdu-cn,SESHAT_BOOTSTRAP,03_CORTE_EJECUTORA_DEL_REY/10_REPOS/02_ACTIVE/seshat-bootstrap-sdu-cn/matrices/sdu_cn/SDU_CN_CDF_STAFF_CONNECTION_EXECUTION_MATRIX.csv,file_name,Unknown / POR_DEFINIR,Unknown / POR_DEFINIR,COURT_SDU_SESHAT,GATE_CONNECTION_SURFACE_CLASSIFICATION_REQUIRED,low,exclude_false_positive,connection_surface_unclassified
conn.seshat_bootstrap.unknown_por_definir.20692,conn_canon_000233,SeshatSgin/seshat-bootstrap-sdu-cn,SESHAT_BOOTSTRAP,03_CORTE_EJECUTORA_DEL_REY/10_REPOS/02_ACTIVE/seshat-bootstrap-sdu-cn/matrices/sdu_cn/sdu_cn_matrix_manifest.json,L23,Unknown / POR_DEFINIR,Unknown / POR_DEFINIR,COURT_SDU_SESHAT,GATE_CONNECTION_SURFACE_CLASSIFICATION_REQUIRED,low,exclude_false_positive,connection_surface_unclassified
conn.seshat_bootstrap.unknown_por_definir.20612,conn_canon_000256,SeshatSgin/seshat-bootstrap-sdu-cn,SESHAT_BOOTSTRAP,03_CORTE_EJECUTORA_DEL_REY/10_REPOS/02_ACTIVE/seshat-bootstrap-sdu-cn/matrices/sdu_cn/SESHAT_DOCUMENT_WORKSPACE_SOURCE_REGISTER_20260527.csv,file_name,Unknown / POR_DEFINIR,Unknown / POR_DEFINIR,COURT_SDU_SESHAT,GATE_CONNECTION_SURFACE_CLASSIFICATION_REQUIRED,low,exclude_false_positive,connection_surface_unclassified
conn.seshat_bootstrap.unknown_por_definir.20776,conn_canon_000283,SeshatSgin/seshat-bootstrap-sdu-cn,SESHAT_BOOTSTRAP,03_CORTE_EJECUTORA_DEL_REY/10_REPOS/02_ACTIVE/seshat-bootstrap-sdu-cn/policies/CODESPACE_WORK_POLICY.md,file_name,Unknown / POR_DEFINIR,Unknown / POR_DEFINIR,COURT_SDU_SESHAT,GATE_CONNECTION_SURFACE_CLASSIFICATION_REQUIRED,low,exclude_false_positive,connection_surface_unclassified
conn.seshat_bootstrap.unknown_por_definir.20805,conn_canon_000305,SeshatSgin/seshat-bootstrap-sdu-cn,SESHAT_BOOTSTRAP,03_CORTE_EJECUTORA_DEL_REY/10_REPOS/02_ACTIVE/seshat-bootstrap-sdu-cn/seshat-bootstrap-sdu-cn.code-workspace,file_name,Unknown / POR_DEFINIR,Unknown / POR_DEFINIR,COURT_SDU_SESHAT,GATE_CONNECTION_SURFACE_CLASSIFICATION_REQUIRED,low,exclude_false_positive,connection_surface_unclassified
conn.seshat_bootstrap.unknown_por_definir.20876,conn_canon_000324,SeshatSgin/seshat-bootstrap-sdu-cn,SESHAT_BOOTSTRAP,03_CORTE_EJECUTORA_DEL_REY/10_REPOS/02_ACTIVE/seshat-bootstrap-sdu-cn/workspace/CODESPACE_START_HERE.md,file_name,Unknown / POR_DEFINIR,Unknown / POR_DEFINIR,COURT_SDU_SESHAT,GATE_CONNECTION_SURFACE_CLASSIFICATION_REQUIRED,low,exclude_false_positive,connection_surface_unclassified
conn.sgin_cumplimiento.unknown_por_definir.18639,conn_canon_000590,SeshatSgin/sgin-cumplimiento,SGIN_CUMPLIMIENTO,10_UNIVERSOS/ESCRIBANIA/10_REPOS/02_ACTIVE/sgin-cumplimiento/automation/manifests/MANIFEST_FRONTERA_CUMPLIMIENTO_20260425.md,L81,Unknown / POR_DEFINIR,Unknown / POR_DEFINIR,ESCRIBANIA,GATE_CONNECTION_SURFACE_CLASSIFICATION_REQUIRED,low,exclude_false_positive,connection_surface_unclassified
conn.sgin_cumplimiento.unknown_por_definir.18862,conn_canon_000600,SeshatSgin/sgin-cumplimiento,SGIN_CUMPLIMIENTO,10_UNIVERSOS/ESCRIBANIA/10_REPOS/02_ACTIVE/sgin-cumplimiento/automation/scripts/session/Open-SginWorkspaceSessionConsole.ps1,file_name,Unknown / POR_DEFINIR,Unknown / POR_DEFINIR,ESCRIBANIA,GATE_CONNECTION_SURFACE_CLASSIFICATION_REQUIRED,low,exclude_false_positive,connection_surface_unclassified
