"branch_name","sources","head","latest_date","age_days","contained_in_main","ahead_of_main","behind_main","canonical","duplicate_group_size","duplicate_with"
"codex/fix-c-root-validator-scalar-lines-20260605","local|remote_git|remote_github","991db98","2026-06-05T04:57:11-03:00","2","True","0","116","False","1",""
"codex/frontend-design-lane-issue-15","remote_git|remote_github","3b439eb","2026-06-01T21:58:11-03:00","6","True","0","294","False","1",""
"codex/full-repo-validation-followups-20260605","local","b0e30cb","2026-06-05T05:13:32-03:00","2","True","0","115","False","5","codex/agent-naming-rationalization-20260605|codex/agents-global-improvement-20260605|codex/codex-cloud-capability-audit-20260605|codex/process-manuals-framework-20260605"
"codex/github-live-repo-scoped-lifecycle-20260603","remote_git|remote_github","39160ef","2026-06-03T03:27:26-03:00","4","True","0","220","False","1",""
"codex/github-pr-lifecycle-recipe-20260601","remote_git|remote_github","f9b38aa","2026-06-01T16:40:23-03:00","6","True","0","312","False","1",""
"codex/global-agent-autonomy-cloud-20260602","remote_git|remote_github","a75fbca","2026-06-02T17:20:29-03:00","5","True","0","261","False","1",""
"codex/global-operational-chain-governance-20260601","remote_git|remote_github","4b026db","2026-06-01T15:06:20-03:00","6","True","0","319","False","1",""
"codex/governance-suite-artifact-20260603","remote_git|remote_github","4e8a0cb","2026-06-02T21:48:55-03:00","5","True","0","243","False","1",""
"codex/ignore-local-skill-install-holds-20260608","local|remote_git|remote_github","4d29e29","2026-06-08T06:39:08-03:00","-1","True","0","3","False","1",""
"codex/ignore-local-tool-state","local|remote_git|remote_github","4fe7fda","2026-06-07T10:01:02-03:00","0","True","0","82","False","1",""
"codex/live-delta-reconciliation-20260603","remote_git|remote_github","1077216","2026-06-03T00:59:11-03:00","4","True","0","232","False","1",""
"codex/local-tooling-continuity-handoff","local|remote_git|remote_github","082b1e8","2026-06-07T09:52:36-03:00","0","True","0","84","False","1",""
"codex/max-level-canon-pr130-20260608","local|remote_git|remote_github","50a760e","2026-06-07T23:23:11-03:00","0","True","0","17","False","1",""
"codex/methodology-skills-wave-20260601","remote_git|remote_github","da5b869","2026-06-01T16:25:57-03:00","6","True","0","314","False","1",""
"codex/microsoft-agents-governed-lab-alignment-20260602","remote_git|remote_github","ffd2e01","2026-06-02T11:31:35-03:00","5","True","0","287","False","1",""
"codex/non-powershell-validator-prep","local|remote_git|remote_github","b3e0685","2026-06-07T19:14:44-03:00","0","True","0","36","False","1",""
"codex/openai-upstream-two-wave-adoption-20260602","remote_git|remote_github","913651b","2026-06-02T12:24:52-03:00","5","True","0","273","False","1",""
"codex/post-pr-101-next-lane-selection-20260605","local|remote_git|remote_github","c7e1854","2026-06-05T18:45:08-03:00","2","False","1","108","False","1",""
