"branch_name","tipo","scope","descripcion","referencia","estado","observaciones"
"codex/ui-action-names-intuitive-20260605","","","","","RECONCILIADA","CONTENIDA_EN_MAIN;SDU_CN_NAMING_NO_CONFORME;SIN_REFERENCIA_EXTRAIBLE;sources=local|remote_git|remote_github;head=b2f86a6;date=2026-06-05;ahead=0;behind=114;protected=false"
"codex/user-efigueroa-governance-20260602","","","","","RECONCILIADA","CONTENIDA_EN_MAIN;SDU_CN_NAMING_NO_CONFORME;SIN_REFERENCIA_EXTRAIBLE;sources=remote_git|remote_github;head=c8dfcda;date=2026-06-02;ahead=0;behind=281;protected=false"
"codex/validator-hash-set-performance-20260603","","","","","RECONCILIADA","CONTENIDA_EN_MAIN;SDU_CN_NAMING_NO_CONFORME;SIN_REFERENCIA_EXTRAIBLE;sources=remote_git|remote_github;head=ca7a4d2;date=2026-06-02;ahead=0;behind=240;protected=false"
"codex/validator-suite-runner-phase3-20260602","","","","","RECONCILIADA","CONTENIDA_EN_MAIN;SDU_CN_NAMING_NO_CONFORME;SIN_REFERENCIA_EXTRAIBLE;sources=remote_git|remote_github;head=408e3d1;date=2026-06-02;ahead=0;behind=249;protected=false"
"codex/version-agents-sdk-live-findings-20260605","","","","","NO_CONFORME","FUERA_DE_CANON_NAMING;SDU_CN_NAMING_NO_CONFORME;SIN_REFERENCIA_EXTRAIBLE;sources=local|remote_git|remote_github;head=7ed596a;date=2026-06-05;ahead=7;behind=109;protected=false"
"codex/version-sdu-sdk-order-packets-20260608","","","","","RECONCILIADA","CONTENIDA_EN_MAIN;SDU_CN_NAMING_NO_CONFORME;SIN_REFERENCIA_EXTRAIBLE;sources=local|remote_git|remote_github;head=1492335;date=2026-06-08;ahead=0;behind=5;protected=false"
"codex/version-vscode-noop-task-20260608","","","","","RECONCILIADA","CONTENIDA_EN_MAIN;SDU_CN_NAMING_NO_CONFORME;SIN_REFERENCIA_EXTRAIBLE;sources=local|remote_git|remote_github;head=c35d07c;date=2026-06-08;ahead=0;behind=1;protected=false"
"codex/vsi-aac-schema-issues","","","","","RECONCILIADA","CONTENIDA_EN_MAIN;SDU_CN_NAMING_NO_CONFORME;SIN_REFERENCIA_EXTRAIBLE;sources=local|remote_git|remote_github;head=8c2c112;date=2026-06-07;ahead=0;behind=54;protected=false"
"codex/vsi-agent-task-dashboard","","","","","RECONCILIADA","CONTENIDA_EN_MAIN;SDU_CN_NAMING_NO_CONFORME;SIN_REFERENCIA_EXTRAIBLE;sources=local|remote_git|remote_github;head=33fcad5;date=2026-06-07;ahead=0;behind=72;protected=false"
"codex/vsi-canvas-schema-health-action","","","","","RECONCILIADA","CONTENIDA_EN_MAIN;SDU_CN_NAMING_NO_CONFORME;SIN_REFERENCIA_EXTRAIBLE;sources=local|remote_git|remote_github;head=c209863;date=2026-06-07;ahead=0;behind=52;protected=false"
"codex/vsi-dashboard-governance-stack","","","","","RECONCILIADA","CONTENIDA_EN_MAIN;SDU_CN_NAMING_NO_CONFORME;SIN_REFERENCIA_EXTRAIBLE;sources=local|remote_git|remote_github;head=9da3d33;date=2026-06-07;ahead=0;behind=64;protected=false"
"codex/vsi-dashboard-max-stack","","","","","RECONCILIADA","CONTENIDA_EN_MAIN;SDU_CN_NAMING_NO_CONFORME;SIN_REFERENCIA_EXTRAIBLE;sources=local|remote_git|remote_github;head=0c452b0;date=2026-06-07;ahead=0;behind=66;protected=false"
"codex/vsi-dashboard-observability-stack","","","","","RECONCILIADA","CONTENIDA_EN_MAIN;SDU_CN_NAMING_NO_CONFORME;SIN_REFERENCIA_EXTRAIBLE;sources=local|remote_git|remote_github;head=ee88a13;date=2026-06-07;ahead=0;behind=58;protected=false"
"codex/vsi-dashboard-resilience-stack","","","","","RECONCILIADA","CONTENIDA_EN_MAIN;SDU_CN_NAMING_NO_CONFORME;SIN_REFERENCIA_EXTRAIBLE;sources=local|remote_git|remote_github;head=c05a4a1;date=2026-06-07;ahead=0;behind=60;protected=false"
"codex/vsi-dashboard-runtime-stack","","","","","RECONCILIADA","CONTENIDA_EN_MAIN;SDU_CN_NAMING_NO_CONFORME;SIN_REFERENCIA_EXTRAIBLE;sources=local|remote_git|remote_github;head=52e9e11;date=2026-06-07;ahead=0;behind=62;protected=false"
"codex/vsi-function-utilization-no-ps-20260607","","","","","RECONCILIADA","CONTENIDA_EN_MAIN;SDU_CN_NAMING_NO_CONFORME;SIN_REFERENCIA_EXTRAIBLE;sources=local|remote_git|remote_github;head=294a1b6;date=2026-06-07;ahead=0;behind=30;protected=false"
"codex/vsi-jira-suspended-next-gates","","","","","RECONCILIADA","CONTENIDA_EN_MAIN;SDU_CN_NAMING_NO_CONFORME;SIN_REFERENCIA_EXTRAIBLE;sources=local|remote_git|remote_github;head=31af04c;date=2026-06-07;ahead=0;behind=50;protected=false"
"codex/vsi-local-actions-next","","","","","RECONCILIADA","CONTENIDA_EN_MAIN;SDU_CN_NAMING_NO_CONFORME;SIN_REFERENCIA_EXTRAIBLE;sources=local|remote_git|remote_github;head=8b4a664;date=2026-06-07;ahead=0;behind=68;protected=false"
"codex/vsi-local-agents-sdk-chain","","","","","RECONCILIADA","CONTENIDA_EN_MAIN;SDU_CN_NAMING_NO_CONFORME;SIN_REFERENCIA_EXTRAIBLE;sources=local|remote_git|remote_github;head=4109f6a;date=2026-06-07;ahead=0;behind=38;protected=false"
"codex/vsi-memory-log-no-ps-20260607","","","","","RECONCILIADA","CONTENIDA_EN_MAIN;SDU_CN_NAMING_NO_CONFORME;SIN_REFERENCIA_EXTRAIBLE;sources=local|remote_git|remote_github;head=7de04ac;date=2026-06-07;ahead=0;behind=34;protected=false"
"codex/vsi-memory-workpaper-bridge-20260607","","","","","RECONCILIADA","CONTENIDA_EN_MAIN;SDU_CN_NAMING_NO_CONFORME;SIN_REFERENCIA_EXTRAIBLE;sources=local|remote_git|remote_github;head=4dc5c45;date=2026-06-07;ahead=0;behind=26;protected=false"
"codex/vsi-openai-live-smoke-executed","","","","","RECONCILIADA","CONTENIDA_EN_MAIN;SDU_CN_NAMING_NO_CONFORME;SIN_REFERENCIA_EXTRAIBLE;sources=local|remote_git|remote_github;head=c51f332;date=2026-06-07;ahead=0;behind=48;protected=false"
"codex/vsi-power-platform-local-dry-run","","","","","RECONCILIADA","CONTENIDA_EN_MAIN;SDU_CN_NAMING_NO_CONFORME;SIN_REFERENCIA_EXTRAIBLE;sources=local|remote_git|remote_github;head=3d9e69f;date=2026-06-07;ahead=0;behind=46;protected=false"
"codex/vsi-startup-command-canon","","","","","RECONCILIADA","CONTENIDA_EN_MAIN;SDU_CN_NAMING_NO_CONFORME;SIN_REFERENCIA_EXTRAIBLE;sources=local|remote_git|remote_github;head=a8b9b7b;date=2026-06-07;ahead=0;behind=41;protected=false"
"codex/vsi-usage-expansion-no-ps-20260607","","","","","RECONCILIADA","CONTENIDA_EN_MAIN;SDU_CN_NAMING_NO_CONFORME;SIN_REFERENCIA_EXTRAIBLE;sources=local|remote_git|remote_github;head=3e4c4cb;date=2026-06-07;ahead=0;behind=32;protected=false"
"codex/vsi-visible-gate-lane","","","","","RECONCILIADA","CONTENIDA_EN_MAIN;SDU_CN_NAMING_NO_CONFORME;SIN_REFERENCIA_EXTRAIBLE;sources=local|remote_git|remote_github;head=7718738;date=2026-06-07;ahead=0;behind=56;protected=false"
"codex/webreactiva-runtime-evidence-20260601","","","","","RECONCILIADA","CONTENIDA_EN_MAIN;SDU_CN_NAMING_NO_CONFORME;SIN_REFERENCIA_EXTRAIBLE;sources=remote_git|remote_github;head=2d231b1;date=2026-06-01;ahead=0;behind=310;protected=false"
"copilot/research-performance-issues","","","","","RECONCILIADA","CONTENIDA_EN_MAIN;SDU_CN_NAMING_NO_CONFORME;SIN_REFERENCIA_EXTRAIBLE;sources=remote_git|remote_github;head=255692f;date=2026-06-02;ahead=0;behind=248;protected=false"
"main","","","","","OK","BASE_RECTOR_CANONICA;sources=local|remote_git|remote_github;head=3ce2129;date=2026-06-08;ahead=0;behind=0;protected=false"
